Date,Symbol,Open,High,Low,Close,Volume,,,
05-05-2011,NESTLEIND,4030,4168,4000,4134.65,25556,,,
06-05-2011,NESTLEIND,4115,4130,3940.1,4009.05,20441,,,
09-05-2011,NESTLEIND,3965.65,4194,3965.65,4127.75,136372,,,
10-05-2011,NESTLEIND,4140,4189.55,4080.1,4113.7,6631,,,
11-05-2011,NESTLEIND,4120.7,4122,4021,4040.9,6657,,,
12-05-2011,NESTLEIND,4040.1,4119.9,3983.4,4014.8,7530,,,
13-05-2011,NESTLEIND,4045,4160,4044,4122.95,11541,,,
16-05-2011,NESTLEIND,4100.1,4190,4090,4176.25,53302,,,
17-05-2011,NESTLEIND,4190,4205,4103.15,4116.65,71539,,,
18-05-2011,NESTLEIND,4140,4173.95,4059,4088.65,4145,,,
19-05-2011,NESTLEIND,4165,4202,4057,4077.35,5798,,,
20-05-2011,NESTLEIND,4141,4141,4052,4056.65,58067,,,
23-05-2011,NESTLEIND,4075.05,4075.05,4000,4003.95,3982,,,
24-05-2011,NESTLEIND,4010,4054.9,3991.4,4008.5,9222,,,
25-05-2011,NESTLEIND,3992,4034.85,3875.1,3894.3,15560,,,
26-05-2011,NESTLEIND,3903,3979.85,3902,3932.95,6786,,,
27-05-2011,NESTLEIND,3964.9,4034.9,3912.3,3993.95,9094,,,
30-05-2011,NESTLEIND,4014,4089.1,4000.25,4020.6,7329,,,
31-05-2011,NESTLEIND,4059.85,4075,4021,4059.3,10689,,,
01-06-2011,NESTLEIND,4065.1,4134,4065,4104.45,24513,,,
02-06-2011,NESTLEIND,4070,4139,4060.1,4105.2,8774,,,
03-06-2011,NESTLEIND,4120,4140.75,4088,4093.25,3699,,,
06-06-2011,NESTLEIND,4130,4150,4072.1,4141.25,7083,,,
07-06-2011,NESTLEIND,4149,4173.9,4106.3,4165.1,7831,,,
08-06-2011,NESTLEIND,4180,4210,4130,4181.1,16791,,,
09-06-2011,NESTLEIND,4181,4181,4150.25,4175.85,4282,,,
10-06-2011,NESTLEIND,4161.35,4220.8,4160,4179.65,6050,,,
13-06-2011,NESTLEIND,4180,4198.8,4101,4147.35,9321,,,
14-06-2011,NESTLEIND,4220,4220,4125.05,4153.45,10460,,,
15-06-2011,NESTLEIND,4160,4184.8,4052,4074.85,14671,,,
16-06-2011,NESTLEIND,4065,4065,3950,3951.25,44083,,,
17-06-2011,NESTLEIND,4035,4035,3859.75,3937.5,17013,,,
20-06-2011,NESTLEIND,3925.05,3950,3875,3893.85,8699,,,
21-06-2011,NESTLEIND,3949,3968.7,3876.35,3887.9,5116,,,
22-06-2011,NESTLEIND,3880.05,3936.9,3855,3914.25,7673,,,
23-06-2011,NESTLEIND,3914.25,3949.9,3890,3932.65,7270,,,
24-06-2011,NESTLEIND,3950,4010,3930,3999.15,10767,,,
27-06-2011,NESTLEIND,3990,4019,3911,3948.75,10278,,,
28-06-2011,NESTLEIND,3930,3999.9,3907,3933.2,12226,,,
29-06-2011,NESTLEIND,3879,4023,3879,3998.5,17678,,,
30-06-2011,NESTLEIND,4009,4140,4009,4108.1,17843,,,
01-07-2011,NESTLEIND,4100,4350,4100,4305.4,55823,,,
04-07-2011,NESTLEIND,4310,4467,4310,4435.8,63829,,,
