Date,Symbol,Open,High,Low,Close,Volume,,
11-05-2010,ULTRACEMCO,950,959.75,939.25,951.6,184752,,
12-05-2010,ULTRACEMCO,943.35,975.5,940.55,967.55,129046,,
13-05-2010,ULTRACEMCO,970,978.5,953.1,962.5,93569,,
14-05-2010,ULTRACEMCO,964.1,970,932,939.2,57315,,
17-05-2010,ULTRACEMCO,950,951,909,945.4,111527,,
18-05-2010,ULTRACEMCO,930,960,930,954.45,63338,,
19-05-2010,ULTRACEMCO,954.45,959,933,951,115525,,
20-05-2010,ULTRACEMCO,963,963,941.5,950.35,261264,,
21-05-2010,ULTRACEMCO,935,968,916.15,949.55,69205,,
24-05-2010,ULTRACEMCO,940.4,966,940.4,956.1,144671,,
25-05-2010,ULTRACEMCO,938,947,909.1,924.65,318460,,
26-05-2010,ULTRACEMCO,929.65,943.4,912,932.35,32516,,
27-05-2010,ULTRACEMCO,923,948.8,918.25,937.25,88299,,
28-05-2010,ULTRACEMCO,954,954.2,930,938.4,66477,,
31-05-2010,ULTRACEMCO,925,940,918.35,921.75,14823,,
01-06-2010,ULTRACEMCO,925,925,911,918.4,156118,,
02-06-2010,ULTRACEMCO,928,965,918,948.65,35339,,
03-06-2010,ULTRACEMCO,968.5,968.5,936,946.05,24929,,
04-06-2010,ULTRACEMCO,937,964.7,937,952.7,35998,,
07-06-2010,ULTRACEMCO,943.5,950,929.05,948.6,21466,,
08-06-2010,ULTRACEMCO,946,963,932,947.55,120197,,
09-06-2010,ULTRACEMCO,946,952.5,932,944.9,36259,,
10-06-2010,ULTRACEMCO,950,995.95,935,981.8,65403,,
11-06-2010,ULTRACEMCO,952.6,981.8,952.6,974.6,68795,,
14-06-2010,ULTRACEMCO,965,985.9,965,979.25,19878,,
15-06-2010,ULTRACEMCO,962.6,998,962,984.05,32853,,
16-06-2010,ULTRACEMCO,981.7,987,973,981,34334,,
17-06-2010,ULTRACEMCO,981,994.9,975,982.85,215271,,
18-06-2010,ULTRACEMCO,985,985,950.1,960.1,41011,,
21-06-2010,ULTRACEMCO,955,973,950.5,969.5,195193,,
22-06-2010,ULTRACEMCO,960,965.95,948,957.4,87148,,
23-06-2010,ULTRACEMCO,958,958,941,955.8,54744,,
24-06-2010,ULTRACEMCO,955,957.5,941.25,945.75,110843,,
25-06-2010,ULTRACEMCO,950,950.5,920,931.65,31816,,
28-06-2010,ULTRACEMCO,926,931,848.5,923.8,60013,,
29-06-2010,ULTRACEMCO,949,949,868,878.7,248036,,
30-06-2010,ULTRACEMCO,881,883,862,879.3,138545,,
01-07-2010,ULTRACEMCO,878.95,878.95,861.5,866.6,111445,,
02-07-2010,ULTRACEMCO,869.05,890,854.55,870.55,64677,,
05-07-2010,ULTRACEMCO,871,890,833.95,867,82383,,
06-07-2010,ULTRACEMCO,864.9,870.6,855,863.15,56175,,
07-07-2010,ULTRACEMCO,867.8,869,859,865.1,32953,,
08-07-2010,ULTRACEMCO,866,874.4,860,862.35,21013,,
09-07-2010,ULTRACEMCO,860.1,866,853.05,858.25,152254,,
12-07-2010,ULTRACEMCO,866,866,852.55,854.8,59232,,
13-07-2010,ULTRACEMCO,863,868.45,846,857.2,414287,,
14-07-2010,ULTRACEMCO,858,874.1,847.2,854.95,198248,,
15-07-2010,ULTRACEMCO,852,859.7,836.95,844.7,143291,,
16-07-2010,ULTRACEMCO,853.1,859,840,845.1,168166,,
19-07-2010,ULTRACEMCO,843,847,832,840.8,109465,,
20-07-2010,ULTRACEMCO,840.8,848,837.25,843.6,73858,,
21-07-2010,ULTRACEMCO,849.8,853,839.05,849.4,201199,,
22-07-2010,ULTRACEMCO,855.05,856.9,836,844.05,388327,,
23-07-2010,ULTRACEMCO,852.95,852.95,822.9,829.35,588751,,
26-07-2010,ULTRACEMCO,829.35,836,821,829.15,28065,,
27-07-2010,ULTRACEMCO,836,848,824.4,845.65,164527,,
28-07-2010,ULTRACEMCO,848.95,864.75,841.5,856.75,81029,,
29-07-2010,ULTRACEMCO,860,880,841.95,869.8,568193,,
30-07-2010,ULTRACEMCO,865,870,855,863.9,44897,,
02-08-2010,ULTRACEMCO,873.9,873.9,856.5,858.3,26310,,
03-08-2010,ULTRACEMCO,858,864.9,858,862.3,23832,,
04-08-2010,ULTRACEMCO,852.6,863.65,852.6,859.15,65725,,
05-08-2010,ULTRACEMCO,871,871,856,860.2,47361,,
06-08-2010,ULTRACEMCO,858,878,858,871.55,27255,,
09-08-2010,ULTRACEMCO,879.95,905,862.2,899.5,196903,,
10-08-2010,ULTRACEMCO,901,908,875.55,885.35,107103,,
11-08-2010,ULTRACEMCO,889,889,873.2,878.7,51847,,
12-08-2010,ULTRACEMCO,875,887.7,860.65,876.8,64258,,
13-08-2010,ULTRACEMCO,876.1,901,871.05,892.4,116975,,
16-08-2010,ULTRACEMCO,905.9,905.9,885.1,897.25,65160,,
17-08-2010,ULTRACEMCO,902,902,888,895.55,46598,,
18-08-2010,ULTRACEMCO,899.95,900,887,896.2,56459,,
19-08-2010,ULTRACEMCO,890,933,887,928,214574,,
20-08-2010,ULTRACEMCO,942.7,957.7,929,949.1,598284,,
23-08-2010,ULTRACEMCO,953.7,953.7,925.25,936.9,75420,,
24-08-2010,ULTRACEMCO,946.95,949,926,944.45,465100,,
25-08-2010,ULTRACEMCO,949,949,916.5,920.55,57643,,
26-08-2010,ULTRACEMCO,925.5,974,918,933.35,297538,,
27-08-2010,ULTRACEMCO,925,934.85,908.5,918.95,238036,,
30-08-2010,ULTRACEMCO,923.8,928,905.1,920,129158,,
31-08-2010,ULTRACEMCO,919,919,900.7,902.5,225117,,
01-09-2010,ULTRACEMCO,910.1,915,900.5,909.8,386620,,
02-09-2010,ULTRACEMCO,919,933,912.65,928.25,213842,,
03-09-2010,ULTRACEMCO,934,948,912.3,920.2,140388,,
06-09-2010,ULTRACEMCO,929.4,929.4,910.25,923.7,124247,,
07-09-2010,ULTRACEMCO,925.9,1000,925.9,994.2,816451,,
08-09-2010,ULTRACEMCO,995,1016.9,978.55,993.05,341705,,
09-09-2010,ULTRACEMCO,1000,1030,995.25,1026.3,743659,,
13-09-2010,ULTRACEMCO,1026.3,1082,1022,1055.5,322711,,
14-09-2010,ULTRACEMCO,1054.95,1065.5,1032.35,1045.5,434321,,
15-09-2010,ULTRACEMCO,1045,1060,1018.1,1030.8,112022,,
16-09-2010,ULTRACEMCO,1020,1034.7,1007,1011.8,156659,,
17-09-2010,ULTRACEMCO,1015.55,1057.8,1015.55,1048.7,359547,,
20-09-2010,ULTRACEMCO,1053.5,1088,1041,1078.7,255933,,
21-09-2010,ULTRACEMCO,1065.65,1093.35,1062.15,1067.9,268288,,
22-09-2010,ULTRACEMCO,1102,1102,1040.35,1049.85,194962,,
23-09-2010,ULTRACEMCO,1058,1058,1021.25,1032.9,232230,,
24-09-2010,ULTRACEMCO,1010.6,1054.95,1010.6,1026.8,104297,,
27-09-2010,ULTRACEMCO,1016.5,1042.9,1000.55,1024.5,399147,,
28-09-2010,ULTRACEMCO,1016.5,1054.95,1015,1047.5,261689,,
29-09-2010,ULTRACEMCO,1052.9,1084.5,1051,1075.9,224233,,
30-09-2010,ULTRACEMCO,1080,1092,1046.1,1062.6,382605,,
01-10-2010,ULTRACEMCO,1046.7,1094,1046.7,1089.7,127875,,
04-10-2010,ULTRACEMCO,1093.95,1108.9,1084.05,1090.05,240297,,
05-10-2010,ULTRACEMCO,1085,1105,1080,1090,269622,,
06-10-2010,ULTRACEMCO,1090,1107,1084,1104.45,169014,,
07-10-2010,ULTRACEMCO,1104.45,1137,1095.55,1105.1,168803,,
08-10-2010,ULTRACEMCO,1106.05,1120,1085,1089.85,107331,,
11-10-2010,ULTRACEMCO,1090,1113.5,1079,1101.7,336218,,
12-10-2010,ULTRACEMCO,1098,1098,1088,1090.75,172203,,
13-10-2010,ULTRACEMCO,1090,1125,1085.25,1121.65,168014,,
14-10-2010,ULTRACEMCO,1125,1144.85,1115,1140.65,93562,,
15-10-2010,ULTRACEMCO,1152.45,1152.45,1120,1133.7,300547,,
18-10-2010,ULTRACEMCO,1133.7,1150.7,1120,1132.45,963707,,
19-10-2010,ULTRACEMCO,1129.05,1137.7,1115.5,1131.3,392994,,
20-10-2010,ULTRACEMCO,1129,1129,1111.35,1121,619154,,
21-10-2010,ULTRACEMCO,1121,1123.85,1107,1116,464106,,
22-10-2010,ULTRACEMCO,1108.15,1126.8,1108,1112.8,135952,,
25-10-2010,ULTRACEMCO,1112.8,1115,1094.05,1098,241348,,
26-10-2010,ULTRACEMCO,1082.6,1109,1078.1,1100.15,196460,,
27-10-2010,ULTRACEMCO,1090,1103.9,1084.4,1099.2,291539,,
28-10-2010,ULTRACEMCO,1098.5,1114.7,1070.25,1092.2,341023,,
29-10-2010,ULTRACEMCO,1082.9,1102,1077.45,1099.9,106049,,
01-11-2010,ULTRACEMCO,1088.35,1107.9,1085.6,1102.5,238264,,
02-11-2010,ULTRACEMCO,1099,1128.4,1087,1122.25,232414,,
03-11-2010,ULTRACEMCO,1128.9,1142.85,1113,1117.05,173316,,
04-11-2010,ULTRACEMCO,1129.9,1130.85,1115.9,1121.75,240228,,
05-11-2010,ULTRACEMCO,1130,1130,1110.05,1116.85,4674,,
08-11-2010,ULTRACEMCO,1137.25,1137.25,1111.2,1122.55,334545,,
09-11-2010,ULTRACEMCO,1125.55,1151.85,1123.6,1147.55,563045,,
10-11-2010,ULTRACEMCO,1151,1159,1122.1,1132.25,310985,,
11-11-2010,ULTRACEMCO,1149,1173.35,1125.2,1134.1,545462,,
12-11-2010,ULTRACEMCO,1117.1,1134.5,1099.1,1103.25,326344,,
15-11-2010,ULTRACEMCO,1110.05,1114,1090.2,1098.65,272848,,
16-11-2010,ULTRACEMCO,1082.25,1111.75,1070,1075.85,141635,,
18-11-2010,ULTRACEMCO,1075.85,1103,1071,1100.05,334264,,
19-11-2010,ULTRACEMCO,1100,1109.85,1081.15,1097.6,113320,,
22-11-2010,ULTRACEMCO,1110,1110,1087,1099.85,228523,,
23-11-2010,ULTRACEMCO,1098,1126,1093,1121.7,672748,,
24-11-2010,ULTRACEMCO,1124.8,1139,1115.2,1126.3,351318,,
