Date,Symbol,Open,High,Low,Close,Volume,,,
05-02-2008,MARUTI,912,920,869,872.6,296903,,,
06-02-2008,MARUTI,855.1,860,827,832.25,400676,,,
07-02-2008,MARUTI,845,845,790,800,549229,,,
08-02-2008,MARUTI,802,814,780.1,805.75,588532,,,
11-02-2008,MARUTI,805.75,850,775,813.35,467655,,,
12-02-2008,MARUTI,815.4,827,796.25,807.7,313845,,,
13-02-2008,MARUTI,812,824.95,802.15,817.25,394845,,,
14-02-2008,MARUTI,821.1,845,820,829.2,245041,,,
15-02-2008,MARUTI,825,829,805,812.45,658133,,,
18-02-2008,MARUTI,830,830,801,806.2,212449,,,
19-02-2008,MARUTI,813,819,805.15,809.4,394126,,,
20-02-2008,MARUTI,808,808,763,769.7,750169,,,
21-02-2008,MARUTI,777,790,754.45,763.15,631746,,,
22-02-2008,MARUTI,765,774.8,750.1,766.35,599096,,,
25-02-2008,MARUTI,775,805.5,768.25,800.55,623552,,,
26-02-2008,MARUTI,811.3,816,791,813.3,349139,,,
27-02-2008,MARUTI,815,840,815,832.9,678206,,,
28-02-2008,MARUTI,830,843,816.7,837.15,517893,,,
29-02-2008,MARUTI,830,875,825,868.2,1698908,,,
03-03-2008,MARUTI,859.7,909,847.5,872.65,1827854,,,
04-03-2008,MARUTI,875,915,875,904.55,1388510,,,
05-03-2008,MARUTI,907,944.5,902,940.2,1504357,,,
07-03-2008,MARUTI,921.25,938.1,873.55,927.85,1553921,,,
10-03-2008,MARUTI,919,938,883,895.05,1362924,,,
11-03-2008,MARUTI,885,892,852,866.65,846194,,,
12-03-2008,MARUTI,876,884.9,851.1,857.4,965824,,,
13-03-2008,MARUTI,850,874.9,806,840.35,797094,,,
14-03-2008,MARUTI,840,849.8,805,832.7,652894,,,
17-03-2008,MARUTI,810,829.9,800,806.55,361660,,,
18-03-2008,MARUTI,810,824.85,805.15,813.35,446490,,,
19-03-2008,MARUTI,830,836.25,801.6,822.45,649083,,,
24-03-2008,MARUTI,863.55,863.55,790,810.2,505100,,,
25-03-2008,MARUTI,825,863.95,816,843.85,747210,,,
26-03-2008,MARUTI,850,856,835.05,845.6,699173,,,
27-03-2008,MARUTI,840.25,848.5,831,838.3,557454,,,
28-03-2008,MARUTI,834.75,855,822,837.8,519840,,,
31-03-2008,MARUTI,840,840,811,827,685949,,,
01-04-2008,MARUTI,840,855,807.55,815.75,454500,,,
02-04-2008,MARUTI,829,849,805.5,810.65,243586,,,
03-04-2008,MARUTI,818.85,819.7,775,786.9,760056,,,
04-04-2008,MARUTI,790.2,792,761.15,764.6,475666,,,
07-04-2008,MARUTI,768,769.9,738.05,759.65,917326,,,
08-04-2008,MARUTI,765,765,740.1,744.65,550601,,,
09-04-2008,MARUTI,745,745,725.1,733.65,786701,,,
10-04-2008,MARUTI,736,748.85,730,737.9,685402,,,
11-04-2008,MARUTI,745,747.9,730.5,739.15,300751,,,
15-04-2008,MARUTI,739.15,759.9,727.6,756.3,241386,,,
16-04-2008,MARUTI,765,765,751.3,756.1,393856,,,
17-04-2008,MARUTI,761,766.5,753,760.5,282042,,,
21-04-2008,MARUTI,750,783.5,725,768.3,354947,,,
22-04-2008,MARUTI,765,769,753.6,757.85,283323,,,
23-04-2008,MARUTI,757.85,769.9,754.25,765.05,446646,,,
24-04-2008,MARUTI,775.8,777,726.55,747.05,2313324,,,
25-04-2008,MARUTI,732,754,732,737.95,856302,,,
28-04-2008,MARUTI,737.95,749,720.2,722.35,1017479,,,
29-04-2008,MARUTI,720,736.7,720,731.15,782363,,,
30-04-2008,MARUTI,734.9,749,730,742.1,927579,,,
02-05-2008,MARUTI,751.1,791.9,751.1,787.9,1868089,,,
05-05-2008,MARUTI,793,809.9,780.3,784.4,1035578,,,
06-05-2008,MARUTI,788,788,757.55,766.7,814237,,,
07-05-2008,MARUTI,770,777.8,759.05,775.65,438190,,,
08-05-2008,MARUTI,768.9,774,761.5,770.55,593476,,,
09-05-2008,MARUTI,766,770.8,758,764.9,1618381,,,
12-05-2008,MARUTI,764.9,774.9,763,770.35,545987,,,
13-05-2008,MARUTI,778,786,769,770.65,420798,,,
14-05-2008,MARUTI,775,799.5,767.05,797.05,966247,,,
15-05-2008,MARUTI,802.15,826.9,800,821.8,1156629,,,
16-05-2008,MARUTI,831.95,831.95,816,821.1,453991,,,
20-05-2008,MARUTI,830,835,810,814.65,1200269,,,
21-05-2008,MARUTI,805,816,790,813.25,582101,,,
22-05-2008,MARUTI,805,813,790.05,805.7,528468,,,
23-05-2008,MARUTI,805,812.8,784.2,789.6,585070,,,
26-05-2008,MARUTI,780,780.2,755.5,761.75,610536,,,
27-05-2008,MARUTI,780.8,780.8,755.3,764.75,327631,,,
28-05-2008,MARUTI,768,790,751.25,777.35,268473,,,
29-05-2008,MARUTI,794.9,794.9,757.15,763,569959,,,
30-05-2008,MARUTI,782.5,782.5,757,763.05,335525,,,
02-06-2008,MARUTI,765.5,802,756,787.3,1431271,,,
03-06-2008,MARUTI,770,789.8,761.55,782.2,281241,,,
04-06-2008,MARUTI,782.5,789,731,746.55,638245,,,
05-06-2008,MARUTI,743,769.25,733.15,761.3,721143,,,
06-06-2008,MARUTI,765,773,742.15,750,413756,,,
09-06-2008,MARUTI,751,751,725,738.55,420913,,,
10-06-2008,MARUTI,739.5,748.2,718,741.5,476415,,,
11-06-2008,MARUTI,748,763,729.1,733.75,367127,,,
12-06-2008,MARUTI,720,747,702,736.8,391035,,,
13-06-2008,MARUTI,742,742,718.1,722.15,406174,,,
16-06-2008,MARUTI,733,736.8,712.55,717.05,627685,,,
17-06-2008,MARUTI,715,764.8,715,755.15,672708,,,
18-06-2008,MARUTI,755,760,737.1,748.35,329443,,,
19-06-2008,MARUTI,741,762,734.3,747.05,293919,,,
20-06-2008,MARUTI,747.05,750,711,728.35,493682,,,
23-06-2008,MARUTI,727,727,681.35,687.95,459469,,,
24-06-2008,MARUTI,685,699,662.25,676.7,858990,,,
25-06-2008,MARUTI,663,699.9,638,691.95,358918,,,
26-06-2008,MARUTI,691.95,718,666.1,675.9,1031938,,,
27-06-2008,MARUTI,675.9,675.9,636,642.75,828051,,,
30-06-2008,MARUTI,654.8,654.8,610,616.55,420913,,,
01-07-2008,MARUTI,616.55,620,558.1,571.5,599023,,,
02-07-2008,MARUTI,571.5,590,560,579.2,769380,,,
03-07-2008,MARUTI,577.35,579.2,545,548.45,595922,,,
04-07-2008,MARUTI,548,573.75,535,548.8,402254,,,
07-07-2008,MARUTI,555,593.5,549,573.15,578901,,,
08-07-2008,MARUTI,563.9,576,540.5,569.2,546872,,,
09-07-2008,MARUTI,575.05,606.9,575,585.45,816806,,,
10-07-2008,MARUTI,592,596,560,565.55,697500,,,
11-07-2008,MARUTI,571.9,578.8,556.1,564.75,352958,,,
14-07-2008,MARUTI,574.7,584.7,560.1,568.5,452879,,,
15-07-2008,MARUTI,520.5,561,520.5,549.3,201590,,,
16-07-2008,MARUTI,549,554.85,540,548.25,443597,,,
17-07-2008,MARUTI,560,602.7,556,599.3,984968,,,
18-07-2008,MARUTI,605,623,588.35,619.25,772611,,,
21-07-2008,MARUTI,625.15,660,615,647.15,477052,,,
22-07-2008,MARUTI,625.25,625.25,585,587.8,2570662,,,
23-07-2008,MARUTI,601,614.75,592.35,608,2110064,,,
24-07-2008,MARUTI,610,634.8,610,619.15,981663,,,
25-07-2008,MARUTI,610,623,600.3,614.4,747765,,,
28-07-2008,MARUTI,615,624,608.1,610.65,645262,,,
29-07-2008,MARUTI,602,604,559.2,566.4,687526,,,
30-07-2008,MARUTI,557,595,557,587.85,769762,,,
31-07-2008,MARUTI,592,598.8,570,575.65,1262228,,,
01-08-2008,MARUTI,564.9,569.9,553,562.15,1437459,,,
04-08-2008,MARUTI,562.15,576,556.3,572.7,519499,,,
05-08-2008,MARUTI,576,623,572.1,614,1055990,,,
06-08-2008,MARUTI,644,674.9,627,651.7,2758125,,,
07-08-2008,MARUTI,649,680,647,671.7,1381632,,,
08-08-2008,MARUTI,626.65,684.05,626.65,679.15,714929,,,
11-08-2008,MARUTI,690.9,725.7,682,719.25,1498366,,,
12-08-2008,MARUTI,709,713.7,661.3,679.05,1840440,,,
13-08-2008,MARUTI,679.05,689.5,658,669.45,1199346,,,
14-08-2008,MARUTI,666,666,643.4,650.5,907149,,,
18-08-2008,MARUTI,651,655,618,640.1,929834,,,
19-08-2008,MARUTI,639.85,639.85,601.95,616.5,1380725,,,
20-08-2008,MARUTI,616.5,629.9,615,625.1,1028097,,,
21-08-2008,MARUTI,625,630,611.5,618.55,618137,,,
22-08-2008,MARUTI,610,634,603.2,631.5,774964,,,
25-08-2008,MARUTI,620,649.8,615.15,625.7,749154,,,
26-08-2008,MARUTI,619,641.9,609.7,629.45,933639,,,
27-08-2008,MARUTI,630,635,620,626.15,797421,,,
28-08-2008,MARUTI,615,636.65,611.35,629.35,512974,,,
29-08-2008,MARUTI,635,661.3,635,649.6,1078145,,,
01-09-2008,MARUTI,649.6,649.6,618.5,633.5,1055043,,,
02-09-2008,MARUTI,630.2,670,630.2,665.25,747594,,,
04-09-2008,MARUTI,658,693.5,645.1,687.7,1135093,,,
05-09-2008,MARUTI,666,685,653.35,680.25,787166,,,
08-09-2008,MARUTI,685.55,719.95,682.3,694.7,1293682,,,
09-09-2008,MARUTI,690,713.4,676.4,708.05,634813,,,
10-09-2008,MARUTI,698,707.9,688.3,695.7,621547,,,
11-09-2008,MARUTI,687,702.1,675,679.35,694803,,,
12-09-2008,MARUTI,682,711.9,682,703.35,1442723,,,
15-09-2008,MARUTI,655.65,737.85,655.65,720.7,1213725,,,
16-09-2008,MARUTI,700,720.05,684.05,695.9,978686,,,
17-09-2008,MARUTI,715,715,681,700.25,1133346,,,
18-09-2008,MARUTI,680,734.7,670,716.9,1114821,,,
19-09-2008,MARUTI,732.5,749.95,724,741.05,902217,,,
22-09-2008,MARUTI,766,766,710.5,721.3,1035073,,,
23-09-2008,MARUTI,700,726.9,695.05,700.9,899105,,,
24-09-2008,MARUTI,698,716.1,692.4,702.1,563169,,,
25-09-2008,MARUTI,682.65,712,682.65,705.35,817954,,,
26-09-2008,MARUTI,700,703,671.25,684.05,273558,,,
29-09-2008,MARUTI,645.05,690,645.05,662.85,517925,,,
30-09-2008,MARUTI,647.6,701,636.3,690.2,739026,,,
01-10-2008,MARUTI,695.35,708,684,700.75,600343,,,
03-10-2008,MARUTI,681,715,672.05,682.85,757319,,,
06-10-2008,MARUTI,665,692,653.4,659,565467,,,
07-10-2008,MARUTI,660.55,688.7,619.1,672.1,1383819,,,
